month,waterMonth,flowMean,flowMedian,flowMin,flowMax,canalFlowMean,canalFlowMedian,canalFlowMin,canalFlowMax,eFlowMean,eFlowMedian,eFlowMin,eFlowMax,spillFlowMean,spillFlowMedian,spillFlowMin,spillFlowMax,grossHeadMean,grossHeadMedian,grossHeadMin,grossHeadMax,netHeadMean,netHeadMedian,netHeadMin,netHeadMax,energyMax,energyMin,energyMean,energyMedian,plantPowerMax,plantPowerMin,plantPowerMean,plantPowerMedian,eFlowProportionMean,generationProportionMean,bypassProportionMean,lowFlowShutoffProportion,highHeadShutoffProportion,lowHeadShutoffProportion,capFactorMean,specificEnergyMean
10,1,238.7,228,134.5,445.8,144.7,131.7,82.47,325.8,94.02,97,52,120,0,0,0,0,25.35,25.4,24.4,25.6,25.1,25.2,24,25.39,51030,12630,23370,21350,68.58,16.98,31.41,28.7,0.4,0.6,0.4,0,0,0,0.17,36.4
11,2,275.7,265.5,153.2,546.2,186.2,170.4,103.2,432.2,89.54,93,50,114,0,0,0,0,25.19,25.2,23.9,25.6,24.89,24.94,23.41,25.36,64940,15850,29010,26880,90.2,22.01,40.29,37.34,0.33,0.67,0.33,0,0,0,0.22,40.4
12,3,438.4,408.1,229.8,832.7,337.9,305.5,170.8,706.7,100.6,104,59,126,0,0,0,0,24.44,24.6,22.8,25.4,24.03,24.19,21.9,25.13,103500,27970,52620,48110,139.1,37.6,70.72,64.67,0.24,0.77,0.23,0,0,0,0.39,44.8
1,4,737.5,656.3,331.5,1712,590.1,536.3,258.5,1079,118.4,120,73,150,29.04,0,0,640.8,23.22,23.5,20,24.9,22.48,22.86,18.18,24.65,130500,40970,86130,81080,175.4,55.07,115.8,109,0.17,0.81,0.19,0,0,0,0.64,45.1
2,5,1369,1007,462.8,8627,852.8,852.8,377.8,1100,138.7,137,85,197,377.2,4.621,0,7330,21.27,22.15,9.13,24.3,20.05,21.01,7.304,23.83,129300,4855,99930,101400,185.7,7.224,147.4,148.6,0.13,0.75,0.25,0,0,0.0093,0.82,38.4
3,6,2527,2356,617.6,7963,1021,1100,510.6,1100,194.7,193.3,107,315,1311,1054,0,6548,18.2,18.1,9.36,23.6,16.52,16.19,7.516,23.07,138800,0,103700,111100,186.6,0,139.3,149.3,0.096,0.53,0.47,0,0,0.068,0.77,23.5
4,7,2954,2948,670.2,7415,1073,1100,545.2,1100,232.6,217,125,364,1648,1605,0,5950,16.97,16.6,9.72,23.4,15.13,14.67,7.862,22.83,138900,0,97110,100400,192.9,0,134.9,139.4,0.087,0.45,0.55,0,0,0.057,0.75,18.1
5,8,2244,2278,716.3,5262,1052,1100,569.3,1100,266.2,276,147,340,926.1,901.5,0,3822,18.58,18.25,12.2,23.2,16.78,16.32,10.24,22.55,140700,33270,113800,116200,189.2,44.72,153,156.2,0.13,0.54,0.46,0,0,0.0081,0.85,23.2
6,9,1226,1201,328.4,2829,849.2,925.7,209.4,1100,213.7,210,119,293,163.1,64.36,0,1436,21.5,21.5,16.9,25,20.22,20.13,15,24.62,128300,32520,106900,116300,178.2,45.17,148.4,161.6,0.2,0.72,0.28,0,0,0,0.82,36.2
7,10,613.1,573.5,242.7,1321,424.2,387.6,134.7,959.6,187.2,186,108,256,1.739,0,0,105,23.7,23.8,21.1,25.4,23.17,23.37,19.61,25.12,124600,21790,63180,59070,167.5,29.28,84.92,79.4,0.32,0.68,0.32,0,0,0,0.47,38.5
8,11,393.2,381.5,198.9,711.9,238.5,225.3,105.9,509.9,154.7,155,93,202,0,0,0,0,24.65,24.7,23.3,25.6,24.3,24.37,22.63,25.39,76360,16920,37540,35560,102.6,22.74,50.46,47.8,0.4,0.6,0.4,0,0,0,0.28,35.6
9,12,289.1,281.1,151.8,505,172.1,161.9,79.82,359,117,118,72,146,0,0,0,0,25.13,25.2,24.1,25.6,24.84,24.87,23.67,25.39,54170,11760,26770,25460,75.24,16.33,37.18,35.36,0.41,0.59,0.41,0,0,0,0.21,35.6