month,waterMonth,1.00,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.92,0.91,0.90,0.89,0.88,0.87,0.86,0.85,0.84,0.83,0.82,0.81,0.80,0.79,0.78,0.77,0.76,0.75,0.74,0.73,0.72,0.71,0.70,0.69,0.68,0.67,0.66,0.65,0.64,0.63,0.62,0.61,0.60,0.59,0.58,0.57,0.56,0.55,0.54,0.53,0.52,0.51,0.50,0.49,0.48,0.47,0.46,0.45,0.44,0.43,0.42,0.41,0.40,0.39,0.38,0.37,0.36,0.35,0.34,0.33,0.32,0.31,0.30,0.29,0.28,0.27,0.26,0.25,0.24,0.23,0.22,0.21,0.20,0.19,0.18,0.17,0.16,0.15,0.14,0.13,0.12,0.11,0.10,0.09,0.08,0.07,0.06,0.05,0.04,0.03,0.02,0.01,0.00
10,1,52363,48682,42651,39273,37950,36856,35313,35205,32700,32395,32344,32334,31359,30728,30558,30341,30104,29512,28695,28150,27895,27696,27624,27484,27438,27184,27078,27024,26588,26170,26019,25876,25789,25637,25055,24735,24354,23813,23589,23386,23249,23199,23150,22950,22598,22373,22322,22173,22038,21968,21869,21756,21669,21643,21450,21216,21165,21068,20937,20910,20880,20774,20649,20566,20464,20313,20083,19947,19671,19530,19486,19386,19238,19067,19002,18908,18874,18830,18728,18568,18068,17770,17704,17523,17345,17170,16936,16790,16186,15664,15622,15477,15355,15266,14745,14522,14055,13842,13647,13317,13182
11,2,66537,65270,57063,52426,47899,46873,43271,42483,42422,42137,41531,40430,39087,38332,38126,37848,37471,37010,36894,36342,35938,34989,33664,33149,32604,31989,31806,31452,31198,31025,30948,30890,30769,30655,30464,30308,30147,30012,29909,29707,29596,29504,29426,29331,29198,29000,28812,28654,28459,28082,27596,27355,27316,27275,27200,26939,26674,26505,26217,26078,25965,25772,25523,25134,24810,24447,24391,24357,24291,24103,23900,23793,23634,23588,23466,23419,23368,23332,23309,23231,23100,22606,22525,22498,22410,22390,22272,22106,22052,22002,21772,21170,20690,19959,19308,19245,18441,18076,16864,16852,16507
12,3,105470,101960,95344,93878,93532,88959,76828,74609,74120,73448,72204,71312,71123,70413,70248,69862,68217,67829,67325,67051,66401,66163,64815,64172,63340,62745,62255,61021,59363,58580,58455,58035,57748,57689,57522,56449,55082,54573,54464,53993,53541,53318,52967,52492,52059,51151,50447,50252,50122,49786,49424,49145,48914,48816,48686,48413,47931,47476,47129,46967,46854,46726,46626,46354,45945,45670,45428,44908,44596,44553,44473,44338,44285,44134,43741,43360,43096,42931,42744,42575,42454,42099,41573,41241,40359,40064,39855,39639,39488,39180,39051,38321,38140,37651,37527,36922,36162,35269,29452,29329,28732
1,4,133590,133060,131930,131890,125660,124870,123820,122890,122530,122230,117750,115820,114310,114000,113490,113340,110980,109320,108690,108340,106950,106580,106470,104810,103690,102340,101730,101110,100630,97678,96089,94984,94395,94184,93505,92865,92622,92481,92417,92043,91704,90976,90240,89693,89186,87819,86858,85605,84293,83813,82922,82014,81616,81444,81083,80616,80219,79914,79837,79676,79356,78868,78250,77788,77748,77727,77637,77370,77001,76819,76340,75293,74928,74789,74246,73436,73008,72917,72596,72177,71680,71493,71010,70490,70015,69850,69156,67048,66134,65201,65018,63444,62562,62038,61021,59926,56895,55867,55668,48847,42042
2,5,131910,127680,127240,125910,125780,125620,125420,124540,124060,123380,123040,121860,121480,120690,119490,119010,117140,116670,116550,116100,115820,115700,115400,115320,115180,114470,114200,114050,113870,113680,113570,112980,112650,112500,112250,111710,111380,110090,109310,109230,108590,107820,107530,106640,105990,105700,105070,104560,104240,104050,103850,103390,102810,102290,101920,101750,101630,101530,101380,100980,100560,100180,99806,99627,99124,98567,98221,98047,97644,97361,96670,95665,95050,94644,94532,94078,92286,90667,89843,89705,89325,88951,88582,88087,87989,87685,87109,86392,85833,83916,83280,80244,79433,79247,79190,78166,70585,65235,57186,55573,9409.4
3,6,141590,138890,137930,137630,136920,136620,136590,135970,134600,134010,133530,133410,133120,132810,132750,132040,131090,130360,130100,129810,129220,126960,126370,126170,125740,125180,124800,124370,124180,123230,122400,122030,121630,121460,121400,121190,120520,120020,119810,119580,119150,117990,117040,116630,116250,115910,115720,115530,115310,115120,114840,114590,114490,114270,114000,113660,112920,112370,111940,111310,111030,110300,109370,109060,108510,107830,107290,106510,105830,104740,104030,102830,102110,100430,99467,98396,97859,97495,97070,96733,96012,94594,91826,90813,89092,87792,86538,85980,84696,82654,82373,81976,79360,76712,73137,57495,53631,44144,32765,25770,15001
4,7,141670,140380,139620,139080,138530,137680,137580,136460,136280,134400,133350,132740,132220,131500,130900,129750,128880,127150,126280,125440,124200,122950,120910,119710,119050,118730,117600,116870,116730,115840,114710,112850,111840,111660,111390,110980,109670,108930,108410,108110,107410,106660,106170,105950,105820,105630,105410,104910,104480,104380,104310,104170,103520,102870,102800,102690,101800,100700,100530,100230,99937,99299,98297,98165,97950,97901,97843,97224,96056,95895,95504,95203,94114,91864,90081,86606,86144,85388,84650,84532,84078,82871,82512,82380,82054,81106,80486,77297,76163,75093,74444,73655,72678,72262,70324,66500,62208,59901,53688,47300,19089
5,8,143560,142550,142410,141610,139540,138310,137790,135820,135620,135510,135460,135360,135250,135140,134930,134830,133910,133480,133200,132530,132330,131970,131080,130620,130480,129460,129070,128930,128550,128410,127790,127440,127260,125590,124770,124090,123600,123390,122910,122240,121700,121380,121190,121080,121020,120870,120730,120360,119950,119670,119470,119430,119330,118680,117920,117780,117520,117120,116910,116700,116450,116130,115780,115500,115200,114630,114050,113570,113530,113180,112450,112070,111190,110810,109370,106960,106580,105650,104910,104750,104130,103840,103520,102850,101920,101260,100120,98557,98081,96967,96517,93331,92761,91986,91819,91349,89470,86729,86236,76778,65172
6,9,131130,129580,129440,129100,128960,128900,128810,128370,128270,128050,127690,127550,127310,127060,126920,126830,126800,126660,126600,126340,126120,125910,125860,125850,125740,125690,125650,125620,125580,125490,125360,125280,124940,124670,124270,124020,123770,123480,123290,123150,122850,122450,122240,121760,121290,121090,120970,120390,119850,119400,118800,118240,117730,117380,117030,116730,116530,116320,116140,115220,113610,112900,111920,110990,110830,110670,110180,109420,108890,107750,107720,107590,106930,104800,100990,99758,99578,99024,97982,97086,96480,94919,89850,88203,86941,86685,84620,79225,76808,76549,75934,73927,71392,68952,55472,53229,52227,46164,38564,36287,33453
7,10,127240,123940,111260,110620,108500,108250,103570,103010,102420,95809,94255,93177,90835,90004,88540,87858,87463,86861,86492,84756,84060,81967,81325,79916,78866,77828,76141,75158,74312,73754,73497,72840,70835,69723,69495,68957,68365,67983,67763,67687,67570,67305,66865,66463,66317,66223,64061,62129,61413,60852,60580,59748,57718,56125,55771,55421,55255,54890,54585,54308,53955,53344,52739,52654,52459,52292,52215,52147,52096,51995,51958,51514,50583,50371,50026,49678,49537,49259,48444,48384,48258,48116,47658,46948,44821,44156,43846,43603,42897,42634,41896,41469,40732,38057,37122,36883,36044,35486,28084,24124,22320
8,11,78190,74661,72628,59897,58019,57025,55697,55382,54921,53964,53437,52846,51626,50208,49122,48847,48760,48182,47751,47619,46949,45896,45004,44407,44209,44025,43154,42193,41903,41386,41155,41106,40852,40568,40228,40002,39694,39333,39052,38924,38732,38569,38446,38352,38161,37859,37660,37576,37486,37191,36618,36029,35629,35276,34966,34569,34050,33814,33745,33692,33627,33491,33232,32953,32852,32810,32644,32287,32143,32023,31906,31737,31566,31345,30957,30852,30839,30802,30679,30522,30385,30053,29991,29928,29811,29648,29188,29146,29070,28935,28826,28670,28336,28138,26911,26649,25564,24644,21934,10917,9321.3
9,12,55547,51989,45079,43802,42347,41678,40752,40678,40112,37677,37157,36826,36659,35941,35023,34878,34449,33841,33512,32387,31963,31914,31542,31436,31185,30824,30710,30660,30591,30358,30194,29845,29620,29126,28812,28473,28187,27913,27615,27471,27218,27061,27058,26951,26739,26605,26457,26351,26318,26285,26082,25553,25137,24929,24735,24592,24316,24035,23757,23478,23447,23339,23215,23161,23113,23060,22919,22778,22762,22730,22650,22616,22595,22567,22525,22440,22412,22372,22263,22109,21925,21412,21208,20941,20806,20792,20712,20635,20505,20262,19712,19598,19054,18980,18876,18735,17506,17022,15780,13088,12254