Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,486.2,224.1,1060,123300,25160,62140,165.7,33.82,83.53,0.2,0.81,0.19,0,0,0,0.46,47.8
2,5,1041,300.7,2132,128700,32370,98570,191.4,48.17,145.5,0.13,0.79,0.21,0,0,0,0.81,42.1
3,6,1923,674.7,3694,143300,87210,120300,192.6,117.2,161.7,0.11,0.61,0.39,0,0,0,0.9,28.4
4,7,2670,658.6,4551,136200,78350,107000,189.1,108.8,148.6,0.088,0.48,0.52,0,0,0,0.83,20.7
5,8,1956,434.7,3489,135100,46300,114000,181.6,62.24,153.3,0.15,0.58,0.42,0,0,0,0.85,27
6,9,1028,284,1821,127400,26640,100400,176.9,37,139.5,0.21,0.74,0.26,0,0,0,0.77,39.6
7,10,599.4,211.6,888.4,93980,11000,62900,126.3,14.78,84.54,0.33,0.68,0.32,0,0.014,0,0.47,38.8
8,11,397.4,161.5,558.7,55970,0,37300,75.23,0,50.14,0.42,0.59,0.41,0,0.052,0,0.28,34.2
9,12,275.8,121.1,374.4,36420,1362,24740,50.58,1.892,34.36,0.44,0.56,0.44,0.021,0.044,0,0.19,33.9
10,1,212.4,100.3,275.9,27740,0,19650,37.28,0,26.42,0.42,0.57,0.43,0.023,0.072,0,0.15,34
11,2,209.7,117.7,275.4,28190,6501,21270,39.15,9.029,29.55,0.36,0.64,0.36,0,0.022,0,0.16,39.1
12,3,268.9,155.5,422,53790,15810,33550,72.29,21.25,45.1,0.26,0.75,0.25,0,0,0,0.25,46.3