exceedance,flow
0,9912.101149085864
0.01,5513.41940631559
0.02,4760.069803792238
0.03,4305.17084766866
0.04,3915.55996117401
0.05,3639.4471347587732
0.06,3452.2483517306155
0.07,3262.215332096638
0.08,3080.145625540945
0.09,2959.582719265651
0.1,2816.6956126314385
0.11,2680.673021087373
0.12,2554.4250630976217
0.13,2423.3655672629548
0.14,2327.3604552759625
0.15,2261.1080791444606
0.16,2155.197364174091
0.17,2067.4689523964616
0.18,1961.0090990577219
0.19,1860.2731022640778
0.2,1756.4342253388888
0.21,1677.712306076144
0.22,1589.152379017626
0.23,1506.0469044272675
0.24,1431.8517190756854
0.25,1365.9455233716533
0.26,1297.493452632858
0.27,1213.1189091296985
0.28,1182.7486563056157
0.29,1132.2745043584068
0.3,1099.0190527819682
0.31,1080.0406752424772
0.32,1045.0135076034953
0.33,1006.7541867350096
0.34,971.432137808443
0.35,941.1240195353739
0.36,905.4211276963824
0.37,876.9389480112663
0.38,843.5383637593729
0.39,819.2739313072125
0.4,794.2547998245
0.41,760.5282369412132
0.42,739.647517659548
0.43,720.333679912978
0.44,702.656002045074
0.45,673.1279396501391
0.46,648.8801480997038
0.47,623.80898251951
0.48,608.7950416720041
0.49,589.2318645568655
0.5,569.2993148919066
0.51,562.8280550549773
0.52,548.1782113756484
0.53,532.5191728902848
0.54,516.7729360541307
0.55,498.05657949500056
0.56,486.025059755861
0.57,472.4927201126982
0.58,467.15716686532693
0.59,455.6551221820828
0.6,445.5413205015348
0.61,440.03308533307893
0.62,426.6328487766048
0.63,420.28896308109694
0.64,413.7323521758024
0.65,402.90242176742925
0.66,391.8168929650621
0.67,386.5311015980858
0.68,377.1167677530398
0.69,370.3647795949888
0.7,360.348781781707
0.71,350.21919677719364
0.72,341.03104517884293
0.73,335.9497286499719
0.74,329.5383598306084
0.75,324.70405724299457
0.76,317.8191556901244
0.77,309.07486873922136
0.78,303.0221709187688
0.79,295.7654828490394
0.8,290.5219337776541
0.81,283.60794454515144
0.82,281.31798835818716
0.83,272.2574429312042
0.84,270.26227422971596
0.85,264.1051373944319
0.86,258.7976358516074
0.87,256.6470325439617
0.88,246.1954369466169
0.89,239.64130525289806
0.9,234.76788095571803
0.91,228.5473619846903
0.92,223.84640769971415
0.93,220.03929849333477
0.94,209.2745188452368
0.95,201.17011153682918
0.96,199.09255064890988
0.97,193.27470709300982
0.98,185.7786784471339
0.99,165.4617298586046
1,102.69190328563374