waterYear,flowMean,flowMin,flowMax,flowMedian,volume,peakWeek,peaks,peakWeeks,flowMeanVariance,flowMinVariance,flowMeanExceedance,flowMaxExceedance,flowMinExceedance
1924,992,100,3452,563,11415625,27,4,"19,22,27,30",-0.09571558796718323,NaN,0.5673170731707317,0.48,1
1925,1112,159,4501,495,12798374,26,1,26,0.013673655423883319,NaN,0.43364238410596034,0.2711359026369169,0.9
1926,990,193,3313,563,11400435,27,2,"27,32",-0.097538742023701,NaN,0.5718181818181818,0.5657977528089887,0.68
1927,848,180,2261,512,9788395,31,2,"27,31",-0.22698268003646307,NaN,0.6940625,0.75,0.7934782608695652
1928,564,195,1589,389,6497450,30,2,"18,30",-0.48587055606198726,NaN,0.9337230769230769,0.87,0.59
1929,720,189,2188,572,8290143,34,1,34,-0.3436645396536007,NaN,0.8021108179419525,0.77,0.73
1930,943,201,3356,533,10849993,31,1,31,-0.14038286235186873,NaN,0.6408256880733945,0.55,0.53
1931,1065,236,3803,624,12288490,26,1,26,-0.02917046490428441,NaN,0.5107079646017698,0.39,0.3009900990099009
1932,583,189,1617,408,6711736,28,2,"17,28",-0.46855059252506837,NaN,0.9029411764705881,0.8595588235294118,0.73
1933,1218,159,5589,583,14017219,26,1,26,0.11030082041932543,NaN,0.3393203883495146,0.11989823245848952,0.9
1934,952,178,3279,564,10961076,25,1,25,-0.13217866909753875,NaN,0.6302463054187193,0.575090909090909,0.81
1935,809,189,2497,469,9339065,31,2,"28,31",-0.2625341841385597,NaN,0.7180188679245283,0.7074193548387097,0.73
1936,1197,201,3600,583,13777929,26,2,"22,26",0.09115770282588878,NaN,0.38012682926829267,0.4227835051546392,0.53
1937,829,225,3228,517,9536961,28,1,28,-0.24430264357338194,NaN,0.7064044943820225,0.5856706045865184,0.33
1938,879,221,2873,517,10121337,25,1,25,-0.19872379216043756,NaN,0.6678132118451026,0.6431888544891641,0.4
1939,1342,215,5260,728,15486536,27,1,27,0.22333637192342753,NaN,0.2299346405228758,0.19540302267002527,0.4265853658536585
1940,957,225,3356,512,11012807,26,1,26,-0.1276207839562443,NaN,0.6192957746478872,0.55,0.33
1941,650,189,2188,427,7476380,30,1,30,-0.4074749316317229,NaN,0.8552631578947368,0.77,0.73
1942,669,171,1708,459,7704870,31,2,"29,31",-0.390154968094804,NaN,0.8363157894736842,0.8479822616407983,0.86
1943,928,178,2543,535,10709445,30,2,"23,30",-0.15405651777575205,NaN,0.6507836990595611,0.6979938944614043,0.81
1944,997,193,3886,495,11472536,27,1,27,-0.09115770282588878,NaN,0.5571111111111111,0.33186046511627904,0.68
1945,681,195,1589,489,7836161,31,1,31,-0.37921604375569734,NaN,0.8267469879518072,0.87,0.59
1946,1234,193,4629,619,14209876,28,1,28,0.12488605287146765,NaN,0.3185013623978201,0.24,0.68
1947,1706,261,6170,750,19687360,24,1,24,0.5551504102096627,NaN,0.07630136986301365,0.06,0.17490909090909088
1948,457,193,905,403,5263287,30,1,30,-0.5834092980856882,NaN,0.976897689768977,0.98,0.68
1949,1374,171,5187,556,15813151,22,2,"22,29",0.25250683682771197,NaN,0.2188022457891454,0.20782701929949968,0.86
1950,1224,193,4402,624,14091663,25,1,25,0.11577028258887875,NaN,0.32721649484536075,0.2925806451612902,0.68
1951,1592,257,6170,634,18376427,23,1,23,0.4512306289881495,NaN,0.1173949579831929,0.06,0.2
1952,1486,221,5886,648,17104042,26,1,26,0.35460346399270737,NaN,0.1765853658536586,0.08832000000000001,0.4
1953,1103,259,3812,682,12694199,28,1,28,0.0054694621695533276,NaN,0.45135135135135124,0.36,0.18478260869565222
1954,1286,212,3803,804,14807532,27,2,"23,27",0.1722880583409298,NaN,0.3017156862745098,0.39,0.45
1955,1761,250,5673,839,20325081,32,2,"24,32",0.6052871467639015,NaN,0.05668789808917188,0.10907079646017699,0.21832167832167837
1956,1522,291,9154,624,17514917,23,1,23,0.38742023701002737,NaN,0.15207823960880198,0.011052047189451757,0.06
1957,2334,284,9912,804,26864849,21,1,21,1.1276207839562442,NaN,0,0,0.08
1958,1104,243,4432,748,12706417,26,1,26,0.006381039197812215,NaN,0.4491228070175437,0.28448051948051933,0.25
1959,1134,195,4629,577,13088192,28,1,28,0.03372835004557885,NaN,0.4082524271844659,0.24,0.59
1960,1474,201,6081,720,16962151,28,1,28,0.3436645396536007,NaN,0.1931451612903227,0.07415194935021657,0.53
1961,1729,267,5570,892,19896699,28,2,"24,28",0.5761166818596172,NaN,0.06602825745682875,0.13014925373134334,0.15
1962,2103,284,7115,1089,24209625,24,1,24,0.9170464904284412,NaN,0.020419803787360236,0.03396035017833148,0.08
1963,1018,291,2450,818,11752901,25,2,"25,29",-0.07201458523245215,NaN,0.5372312703583061,0.7234107708553327,0.06
1964,968,264,2743,572,11143729,27,1,27,-0.11759343664539654,NaN,0.5978260869565218,0.6748949320148331,0.16304347826086962
1965,1210,246,5396,589,13923928,27,1,27,0.10300820419325434,NaN,0.36,0.17148566463944404,0.22904761904761908
1966,976,267,3452,589,11228746,30,1,30,-0.11030082041932543,NaN,0.588,0.48,0.15
1967,1845,257,5513,859,21296247,27,2,"20,27",0.6818596171376481,NaN,0.0419023136246786,0.14097658480868078,0.2
1968,2149,281,8540,877,24738560,27,1,27,0.95897903372835,NaN,0.012769461077844258,0.02083166841624054,0.10799999999999993
1969,1539,335,4874,847,17719805,24,1,24,0.4029170464904284,NaN,0.14162561576354687,0.2284206285253828,0.02
1970,1076,320,3139,706,12390291,26,1,26,-0.019143117593436645,NaN,0.4895454545454545,0.5981859989780276,0.033982300884955664
1971,780,276,1881,642,9004054,31,2,"19,31",-0.2889699179580675,NaN,0.75,0.8165158371040724,0.11982142857142848
1972,579,229,1208,453,6668829,31,1,31,-0.47219690063810393,NaN,0.9130434782608695,0.9425531914893617,0.31656249999999997
1973,1117,209,2840,819,12851883,23,2,"23,31",0.018231540565177756,NaN,0.42672897196261694,0.655045871559633,0.49
1974,1596,221,5415,761,18366814,27,2,"22,27",0.45487693710118504,NaN,0.10993071593533488,0.16304347826086948,0.4
1975,1561,240,5434,720,18013365,27,2,"27,31",0.422971741112124,NaN,0.13060194174757292,0.155359565807327,0.28
1976,1133,335,2831,703,13040817,32,2,"28,32",0.032816773017319965,NaN,0.4102661596958174,0.6604282800815772,0.02
1977,1882,274,6348,1051,21663754,29,1,29,0.715587967183227,NaN,0.0367826086956521,0.046967976379741025,0.1301282051282052
1978,1480,338,5326,859,17032555,29,1,29,0.34913400182315407,NaN,0.18478260869565236,0.18492957746478886,0
1979,1304,312,3068,845,15045726,28,3,"19,21,28",0.18869644484958978,NaN,0.28534246575342453,0.6096336499321574,0.041688654353561956
1980,1151,284,3452,667,13251957,31,2,"27,31",0.049225159525979945,NaN,0.3928870292887029,0.48,0.08
1981,589,243,1437,456,6774748,29,1,29,-0.463081130355515,NaN,0.8929824561403509,0.901472471190781,0.25
1982,606,222,1117,523,6970397,26,2,"26,30",-0.44758432087511396,NaN,0.8806499999999999,0.9565719788155994,0.38043478260869557
1983,653,212,1808,449,7534599,27,1,27,-0.4047402005469462,NaN,0.8495049504950495,0.8341471571906355,0.45
1984,728,199,1953,486,8377223,31,2,"19,31",-0.33637192342752964,NaN,0.7958333333333333,0.8044811320754717,0.57
1985,749,201,3050,440,8620715,30,1,30,-0.31722880583409296,NaN,0.7826993865030675,0.6184255319148936,0.53
1986,793,240,2077,602,9131147,27,1,27,-0.27711941659070194,NaN,0.7361764705882354,0.784493927125506,0.28
1987,774,225,2467,457,8928826,30,2,"22,30",-0.2944393801276208,NaN,0.7616,0.7183333333333334,0.33
1988,1328,209,3812,637,15281889,31,2,"25,31",0.2105742935278031,NaN,0.2607228915662651,0.36,0.49
1989,535,212,1028,440,6156168,34,3,"20,26,34",-0.512306289881495,NaN,0.9528662420382166,0.9667214571301643,0.45
1990,771,199,2294,422,8874466,25,1,25,-0.29717411121239745,NaN,0.7702790697674419,0.739802513464991,0.57
1991,479,175,905,451,5530083,25,2,"12,25",-0.5633546034639927,NaN,0.9687822878228782,0.98,0.8369565217391305
1992,873,164,3573,408,10051929,30,1,30,-0.2041932543299909,NaN,0.6720454545454545,0.44082278481012654,0.8805982905982906
1993,575,156,1839,325,6618327,26,1,26,-0.47584320875113945,NaN,0.9218947368421052,0.8267820069204153,0.9407514450867052
1994,410,133,1232,270,4721583,28,1,28,-0.626253418413856,NaN,0.9890800367985281,0.9380041580041579,0.9652422907488987
1995,360,115,819,275,4154118,31,2,"16,31",-0.6718322698268003,NaN,1,1,0.9787692307692307
1996,547,103,1400,365,6298221,32,2,"20,32",-0.5013673655423884,NaN,0.9464809384164222,0.9120441988950276,0.9897674418604651
1997,1091,157,3525,513,12557019,27,1,27,-0.0054694621695533276,NaN,0.46790697674418613,0.4642444152431013,0.92
1998,1055,174,3421,515,12145401,30,1,30,-0.03828623518687329,NaN,0.5205383580080754,0.5122794117647059,0.8454545454545455
1999,858,194,3411,442,9902657,28,1,28,-0.2178669097538742,NaN,0.6857894736842105,0.5204566210045662,0.65
2000,1217,140,3677,593,14003727,31,2,"25,31",0.10938924339106655,NaN,0.34339622641509465,0.40360824742268037,0.9581081081081081
2001,795,195,2029,542,9148712,32,1,32,-0.27529626253418416,NaN,0.7297080291970803,0.7925196850393701,0.59
2002,1073,194,3846,596,12348614,30,1,30,-0.02187784867821331,NaN,0.5,0.34808988764044946,0.65
2003,1317,189,4339,620,15206545,26,2,"26,30",0.20054694621695535,NaN,0.27151202749140896,0.3103966556484542,0.73
2004,632,194,1337,458,7269578,32,2,"26,32",-0.4238833181403829,NaN,0.8693838862559242,0.9227835051546391,0.65
2005,960,157,2684,566,11051719,29,1,29,-0.12488605287146765,NaN,0.6094674556213018,0.682772319521572,0.92
2006,1457,210,4543,690,16772302,22,1,22,0.3281677301731996,NaN,0.20277475516866164,0.2616318785578748,0.47904761904761906
2007,1300,237,3367,809,15007123,22,2,"22,29",0.18505013673655424,NaN,0.2913223140495867,0.5358536585365854,0.296153846153846
2008,1504,182,5796,731,17313089,25,1,25,0.37101185050136737,NaN,0.16304347826086957,0.09724832214765099,0.7855263157894736
2009,1685,213,5149,854,19401156,30,2,"25,30",0.536007292616226,NaN,0.08941176470588241,0.2128135888501743,0.43647058823529417
2010,1682,225,4356,934,19359161,29,1,29,0.5332725615314494,NaN,0.09111570247933887,0.3067547723935388,0.33
2011,1210,244,3544,689,13966794,30,1,30,0.10300820419325434,NaN,0.36,0.4574105621805793,0.23954545454545462
2012,1337,223,3615,690,15384706,23,2,"23,29",0.2187784867821331,NaN,0.25,0.41643916913946594,0.3697777777777778
2013,1341,195,3575,809,15430909,28,2,"28,32",0.22242479489516864,NaN,0.23724137931034503,0.4391973244147157,0.59
2014,697,209,1460,542,8024074,34,2,"29,34",-0.3646308113035551,NaN,0.8161061946902655,0.89456906729634,0.49
2015,1013,176,2976,482,11696963,30,1,30,-0.07657247037374658,NaN,0.5414285714285714,0.6303162393162394,0.8275675675675677
2016,1082,157,3890,566,12453993,27,1,27,-0.013673655423883319,NaN,0.4787692307692307,0.32994305599493834,0.92